Sample number,Distance (cm),Pressure (mTorr),Breakdown voltage,Voltage across resistor
1,6.5,169,247,5.5
2,6,169,255,11
3,6,111,268,7.6
4,5.5,111,278,7.4
5,5.5,64.9,315,2.9
6,5.3,65.5,314,1.66
7,5.3,92.9,290,1.08
8,6.7,93.2,272,7
9,6.7,165,249,4.9
10,6.9,166,252,7.1
11,6.9,227,263,18.9
12,7.2,228,269,23
13,7.2,308,290,44.3
14,7.5,308,303,52
15,7.5,395,334,82
